1,April,Marvin,Olson Electronics,(08) 8748 8350,AprilSMarvin@pookmail.com,4/17/1943,Grobleaugg.gif
2,Nila,Stevens,Konsili,(03) 5329 3233,NilaJStevens@trashymail.com,5/21/1960,Himer1960.gif
3,Ryan,Torres,Raleigh's,(07) 4579 3598,RyanLTorres@spambob.com,2/8/1971,Chice1971.gif
4,George,Turner,Coon Chicken Inn,(02) 9574 6804,GeorgeMTurner@spambob.com,6/13/1964,Busequithe.gif
5,Angie,Dressler,Computer City,(02) 4092 9074,AngieJDressler@dodgit.com,1/6/1988,Prefor.gif
6,Thomas,Clark,Eden Lawn Service,(02) 9793 4790,ThomasDClark@trashymail.com,6/14/1976,Grapir.gif
7,John,Larsen,Just For Feet,(03) 5336 3234,JohnMLarsen@dodgit.com,11/4/1948,Shollstrown1948.gif
8,Peggy,McLaughlin,J. K. Gill Company,(03) 5358 5441,PeggyRMcLaughlin@spambob.com,7/12/1986,Morge1986.gif
9,Floyd,Wagner,Food Giant,(07) 4556 4109,FloydJWagner@dodgit.com,11/23/1950,Recinext.gif
10,Shannon,Talley,World of Fun,(02) 4948 7856,ShannonGTalley@spambob.com,2/13/1983,Forting.gif
11,Cedrick,Beringer,Acuserv,(02) 6129 1375,CedrickJBeringer@spambob.com,9/5/1969,Therant.gif
12,Elaine,Commander,Best Products,(07) 4917 3829,ElaineJCommander@mailinator.com,9/23/1977,Thosee.gif
13,Ronald,Harshbarger,Netstars Matrix Design,(02) 4919 8510,RonaldEHarshbarger@pookmail.com,11/22/1940,Thoing.gif
14,Juanita,Groth,Kelly and Cohen,(03) 6264 3798,JuanitaWGroth@pookmail.com,8/5/1933,Nothe1933.gif
15,Lisa,Nestor,BASCO,(03) 5323 6184,LisaTNestor@dodgit.com,12/13/1962,Leards.gif
16,Terry,Harris,Megatronic,(03) 5354 9680,TerryAHarris@pookmail.com,10/9/1982,Anctoesend.gif
17,Joseph,Brandon,White Coffee Pot,(02) 6114 2464,JosephBBrandon@mailinator.com,2/11/1928,Hillect.gif
18,Betty,Danna,Hollywood Video,(03) 5330 1464,BettyRDanna@mailinator.com,3/29/1938,Applad.gif
19,Brad,Bruner,Handy Dan,(08) 8364 6597,BradDBruner@trashymail.com,6/24/1989,Poper1989.gif
20,Richard,Sullivan,McMahan's Furniture,(08) 8210 9659,RichardBSullivan@spambob.com,2/5/1963,Sapeate.gif
21,Jacqueline,Christner,FlowerTime,(03) 9783 9007,JacquelineEChristner@mailinator.com,2/18/1982,Evering.gif
22,Trula,McLain,Planet Pizza,(03) 9790 1259,TrulaGMcLain@mailinator.com,12/4/1943,Kneve1943.gif
23,Charles,McCoy,Mighty Casey's,(02) 6796 2978,CharlesSMcCoy@spambob.com,7/29/1962,Lifeatchas.gif
24,Ernesto,Smith,Reliable Investments,(07) 3956 6281,ErnestoDSmith@pookmail.com,5/11/1932,Counce.gif
25,Larry,Holley,Elm Farm,(02) 4055 9130,LarryCHolley@dodgit.com,1/21/1982,Sead1982.gif
26,James,Parisien,Parklane Hosiery,(02) 9047 0264,JamesMParisien@trashymail.com,10/17/1931,Courst.gif
27,Claude,Harris,AJ Bayless,(02) 6708 1536,ClaudeSHarris@trashymail.com,4/21/1938,Tharrife.gif
28,Forrest,Perrone,Whitlocks Auto Supply,(02) 6726 8704,ForrestMPerrone@spambob.com,1/29/1928,Henin1928.gif
29,Kenneth,Johnson,Richman Brothers,(02) 4073 9775,KennethTJohnson@pookmail.com,10/31/1939,Verea1939.gif
30,Philip,Griffin,National Record Mart,(02) 4002 5758,PhilipRGriffin@spambob.com,11/4/1992,Volappece.gif
31,George,Yi,Weatherill's,(02) 6701 0041,GeorgeLYi@dodgit.com,12/14/1985,Placque.gif
32,Herbert,Collman,Buena Vista Realty Service,(02) 6716 8422,HerbertNCollman@mailinator.com,11/8/1959,Thught.gif
33,Rosario,Morphis,Food Giant,(08) 8289 0475,RosarioJMorphis@dodgit.com,12/4/1982,Rempley.gif
34,Curtis,Ault,Gottschalks,(08) 8788 1730,CurtisJAult@dodgit.com,10/21/1984,Jealifted1984.gif
35,Jonathan,Seaton,Source Club,(08) 9093 5375,JonathanVSeaton@trashymail.com,12/30/1945,Comentse45.gif
36,Edna,Williams,Payless Cashways,(03) 8235 6489,EdnaJWilliams@spambob.com,8/8/1988,Hason1988.gif
37,Lorretta,Baker,Wells & Wade,(03) 5391 2503,LorrettaLBaker@trashymail.com,9/29/1939,Thervint.gif
38,Marilyn,Lavin,Gallenkamp,(08) 9017 1840,MarilynDLavin@spambob.com,7/29/1952,Bither.gif
39,Amber,Thames,Sandy's,(02) 6760 9832,AmberJThames@trashymail.com,8/29/1940,Sured1940.gif
